51	1030.0
52	1030.0
53	1031.0
54	1035.0
55	1032.0
56	1036.0
57	1033.0
58	1030.0
59	1032.0
60	1035.0
61	1031.0
62	1031.0
63	1030.0
64	1031.0
65	1033.0
66	1032.0
67	1032.0
68	1033.0
69	1032.0
70	1030.0
71	1031.0
72	1030.0
73	1031.0
74	1032.0
75	1032.0
76	1032.0
77	1032.0
78	1030.0
79	1030.0
80	1031.0
81	1031.0
82	1031.0
83	1031.0
84	1031.0
85	1031.0
86	1030.0
87	1030.0
88	1030.0
89	1030.0
90	1032.0
91	1032.0
92	1032.0
93	1034.0
94	1034.0
95	1034.0
96	1031.0
97	1032.0
98	1034.0
99	1031.0
100	1031.0
51	51.44
52	51.83
53	52.2
54	51.64
55	51.5
56	52.91
57	52.75
58	51.16
59	50.49
60	50.2
61	51.98
62	51.67
63	51.99
64	52.36
65	52.3
66	52.56
67	51.84
68	50.36
69	52.6
70	51.64
71	52.43
72	51.59
73	50.91
74	52.28
75	51.65
76	51.83
77	50.93
78	51.44
79	51.62
80	51.0
81	52.42
82	51.66
83	52.38
84	52.35
85	52.28
86	51.54
87	51.54
88	51.69
89	51.95
90	50.58
91	51.23
92	50.65
93	50.89
94	52.71
95	51.7
96	51.58
97	52.56
98	50.4
99	52.03
100	50.74
51	8.534
52	8.585
53	8.365
54	9.965
55	7.988
56	9.699
57	9.006
58	8.802
59	8.987
60	9.507
61	8.375
62	8.136
63	8.86
64	8.708
65	8.08
66	9.025
67	9.392
68	8.695
69	9.041
70	8.607
71	8.597
72	8.392
73	9.054
74	9.129
75	7.941
76	8.029
77	9.304
78	8.977
79	8.475
80	8.944
81	8.816
82	8.105
83	8.906
84	8.522
85	8.408
86	8.581
87	8.623
88	8.729
89	8.826
90	8.416
91	9.32
92	8.746
93	9.641
94	8.171
95	9.766
96	9.108
97	8.663
98	8.186
99	8.935
100	8.47
